route,before_component,after_component,after_destination,evidence_type
"/","HomeHrt3","HomeHrt3","/","matched before/after screenshots"
"/arizona","LocationArizona","LocationArizona","/arizona","matched before/after screenshots"
"/arizona/chandler","LocationChandlerAZ","LocationChandlerAZ","/arizona/chandler","matched before/after screenshots"
"/arizona/fountain-hills","LocationFountainHillsAZ","LocationFountainHillsAZ","/arizona/fountain-hills","matched before/after screenshots"
"/arizona/gilbert","LocationGilbertAZ","LocationGilbertAZ","/arizona/gilbert","matched before/after screenshots"
"/arizona/paradise-valley","LocationParadiseValleyAZ","LocationParadiseValleyAZ","/arizona/paradise-valley","matched before/after screenshots"
"/arizona/peoria","LocationPeoriaAZ","LocationPeoriaAZ","/arizona/peoria","matched before/after screenshots"
"/arizona/prescott","LocationPrescottAZ","LocationPrescottAZ","/arizona/prescott","matched before/after screenshots"
"/arizona/queen-creek","LocationQueenCreekAZ","LocationQueenCreekAZ","/arizona/queen-creek","matched before/after screenshots"
"/arizona/scottsdale","LocationScottsdaleAZ","LocationScottsdaleAZ","/arizona/scottsdale","matched before/after screenshots"
"/arizona/surprise","LocationSurpriseAZ","LocationSurpriseAZ","/arizona/surprise","matched before/after screenshots"
"/arizona/tempe","LocationTempeAZ","LocationTempeAZ","/arizona/tempe","matched before/after screenshots"
"/arizona/tucson","LocationTucsonAZ","LocationTucsonAZ","/arizona/tucson","matched before/after screenshots"
"/before-you-start-treatment","BeforeYouStartTreatment","HTTP 301 redirect","/","before screenshot + redirect proof + destination screenshot"
"/blog","BlogIndex","BlogIndex","/blog","matched before/after screenshots"
"/blog/hormone-therapy-weight-sleep-metabolism","BlogPost","BlogPost","/blog/hormone-therapy-weight-sleep-metabolism","matched before/after screenshots"
"/blog/putting-yourself-last-has-to-change","BlogPost","BlogPost","/blog/putting-yourself-last-has-to-change","matched before/after screenshots"
"/blog/semaglutide-vs-tirzepatide-women-midlife","BlogPost","HTTP 301 redirect","/blog","before screenshot + redirect proof + destination screenshot"
"/blog/why-weight-gain-feels-different-in-menopause","BlogPost","BlogPost","/blog/why-weight-gain-feels-different-in-menopause","matched before/after screenshots"
"/colorado","LocationColorado","LocationColorado","/colorado","matched before/after screenshots"
"/colorado/boulder","LocationBoulderCO","LocationBoulderCO","/colorado/boulder","matched before/after screenshots"
"/colorado/castle-rock","LocationCastleRockCO","LocationCastleRockCO","/colorado/castle-rock","matched before/after screenshots"
"/colorado/colorado-springs","LocationColoradoSpringsCO","LocationColoradoSpringsCO","/colorado/colorado-springs","matched before/after screenshots"
"/colorado/denver","LocationDenverCO","LocationDenverCO","/colorado/denver","matched before/after screenshots"
"/colorado/fort-collins","LocationFortCollinsCO","LocationFortCollinsCO","/colorado/fort-collins","matched before/after screenshots"
"/colorado/greenwood-village","LocationGreenwoodVillageCO","LocationGreenwoodVillageCO","/colorado/greenwood-village","matched before/after screenshots"
"/colorado/highlands-ranch","LocationHighlandsRanchCO","LocationHighlandsRanchCO","/colorado/highlands-ranch","matched before/after screenshots"
"/colorado/longmont","LocationLongmontCO","LocationLongmontCO","/colorado/longmont","matched before/after screenshots"
"/colorado/loveland","LocationLovelandCO","LocationLovelandCO","/colorado/loveland","matched before/after screenshots"
"/colorado/parker","LocationParkerCO","LocationParkerCO","/colorado/parker","matched before/after screenshots"
"/colorado/steamboat-springs","LocationSteamboatSpringsCO","LocationSteamboatSpringsCO","/colorado/steamboat-springs","matched before/after screenshots"
"/discovery-call","DiscoveryCall","DiscoveryCall","/discovery-call","matched before/after screenshots"
"/dr-aldeek-booking","DrAldeekBooking","DrAldeekBooking","/dr-aldeek-booking","matched before/after screenshots"
"/florida","LocationFlorida","LocationFlorida","/florida","matched before/after screenshots"
"/florida/boca-raton","LocationBocaRaton","LocationBocaRaton","/florida/boca-raton","matched before/after screenshots"
"/florida/jupiter","LocationJupiterFL","LocationJupiterFL","/florida/jupiter","matched before/after screenshots"
"/florida/marco-island","LocationMarcoIslandFL","LocationMarcoIslandFL","/florida/marco-island","matched before/after screenshots"
"/florida/miami","LocationMiami","LocationMiami","/florida/miami","matched before/after screenshots"
"/florida/naples","LocationNaples","LocationNaples","/florida/naples","matched before/after screenshots"
"/florida/palm-beach-gardens","LocationPalmBeachGardensFL","LocationPalmBeachGardensFL","/florida/palm-beach-gardens","matched before/after screenshots"
"/florida/ponte-vedra","LocationPonteVedraFL","LocationPonteVedraFL","/florida/ponte-vedra","matched before/after screenshots"
"/florida/sarasota","LocationSarasota","LocationSarasota","/florida/sarasota","matched before/after screenshots"
"/florida/tampa","LocationTampa","LocationTampa","/florida/tampa","matched before/after screenshots"
"/florida/vero-beach","LocationVeroBeachFL","LocationVeroBeachFL","/florida/vero-beach","matched before/after screenshots"
"/guide/how-it-works","dynamic/manual","HTTP 301 redirect","/","before screenshot + redirect proof + destination screenshot"
"/home-2","Home2","dynamic/manual","/home-2","matched before/after screenshots"
"/home-3","Home","dynamic/manual","/home-3","matched before/after screenshots"
"/locations","Locations","Locations","/locations","matched before/after screenshots"
"/lp/glp1","dynamic/manual","HTTP 301 redirect","/lp/WL","before screenshot + redirect proof + destination screenshot"
"/lp/hrt","LpHrt","HTTP 301 redirect","/lp/hrt3","before screenshot + redirect proof + destination screenshot"
"/lp/hrt2","LpHrt2","LpHrt2","/lp/hrt2","matched before/after screenshots"
"/lp/hrt3","LpHrt3","LpHrt3","/lp/hrt3","matched before/after screenshots"
"/lp/WL","LpGlp1","LpGlp1","/lp/WL","matched before/after screenshots"
"/lp/WL2","LpWL2","LpWL2","/lp/WL2","matched before/after screenshots"
"/male","dynamic/manual","HTTP 301 redirect","/","before screenshot + redirect proof + destination screenshot"
"/maryland","LocationMaryland","LocationMaryland","/maryland","matched before/after screenshots"
"/maryland/annapolis","LocationAnnapolisMD","LocationAnnapolisMD","/maryland/annapolis","matched before/after screenshots"
"/maryland/bel-air","LocationBelAirMD","LocationBelAirMD","/maryland/bel-air","matched before/after screenshots"
"/maryland/bethesda","LocationBethesda","LocationBethesda","/maryland/bethesda","matched before/after screenshots"
"/maryland/chevy-chase","LocationChevyChase","LocationChevyChase","/maryland/chevy-chase","matched before/after screenshots"
"/maryland/chevy-chase-md","LocationChevyChaseMD","LocationChevyChaseMD","/maryland/chevy-chase-md","matched before/after screenshots"
"/maryland/easton","LocationEastonMD","LocationEastonMD","/maryland/easton","matched before/after screenshots"
"/maryland/ellicott-city","LocationEllicottCityMD","LocationEllicottCityMD","/maryland/ellicott-city","matched before/after screenshots"
"/maryland/frederick","LocationFrederickMD","LocationFrederickMD","/maryland/frederick","matched before/after screenshots"
"/maryland/potomac","LocationPotomac","LocationPotomac","/maryland/potomac","matched before/after screenshots"
"/maryland/rockville","LocationRockville","LocationRockville","/maryland/rockville","matched before/after screenshots"
